location_name,address,city,state,zipcode,count(1)
orlando square,1800 sand lake rd,orlando,fl,32809,16340
the shops at la cantera,15900 la cantera pkwy ste 12000,san antonio,tx,78256,16338
castle rock,346 metzler dr,castle rock,co,80108,16337
yorba linda,22450 old canal rd,yorba linda,ca,92887,16335
mitchell ranch plaza,9040 state road 54,trinity,fl,34655,16334
university of delaware,17 w main street,newark,de,19713,16323
denver west,14730 w colfax avenue,lakewood,co,80401,16323
greeley,4555 centerplace dr,greeley,co,80634,16322
georgia college and state university,231 w hancock st,milledgeville,ga,31061,16318
schaumburg,935 e golf rd,schaumburg,il,60173,16315
dfw airport  terminal e,international parkway,dfw airport,tx,75261,16312
saint simons,2205 demere rd,saint simons island,ga,31522,16311
north orange,2575 n tustin st,orange,ca,92865,16305
north shore square,150 northshore blvd ste 5024,slidell,la,70460,16304
thomas road,203 thomas rd,west monroe,la,71291,16302
fort valley state university,1005 state university dr,fort valley,ga,31030,16302
germantown town center,19945 century blvd,germantown,md,20874,16302
frederick md,5501 urbana pike,frederick,md,21704,16300
lake city,3200 w us highway 90,lake city,fl,32055,16298
greatwood,20010 southwest fwy,sugar land,tx,77479,16295
whitehall commons shopping center,8032 s tryon st,charlotte,nc,28273,16292
bowie,16503 ballpark rd,bowie,md,20716,16291
lake brandon village,11325 causeway blvd,brandon,fl,33511,16289
magnolia,6543 fm 1488 rd,magnolia,tx,77354,16289
franklin park mall,5001 monroe st ste fc10,toledo,oh,43623,16288
happy valley,1938 n atherton st,state college,pa,16803,16287
state and lake inline,177 n state st,chicago,il,60601,16280
i35/slaughter,161 w slaughter ln ste m,austin,tx,78748,16276
christiana mall,204 christiana mall,newark,de,19702,16261
okeechobee and turnpike,6060 okeechobee blvd,west palm beach,fl,33417,16260
north point mall,2180 n point cir,alpharetta,ga,30022,16258
lincoln at washington drivethru only,4050 lincoln blvd,venice,ca,90292,16257
dayton international airport,3600 terminal rd,vandalia,oh,45377,16255
kemah,321 marina bay dr,clear lake shores,tx,77565,16253
hwy 6 amp; bellaire,6895 highway 6 s,houston,tx,77083,16252
north lakeland,4132 us highway 98 n,lakeland,fl,33809,16249
green mount commons,2532 green mount commons,belleville,il,62221,16241
pleasant grove,912 pleasant grove blvd,roseville,ca,95678,16237
granbury,1011 e highway 377,granbury,tx,76048,16235
northlake festival,3967 lavista rd,tucker,ga,30084,16232
lake conroe parkway,1321 w davis st,conroe,tx,77304,16231
dallas love field,8008 cedar springs rd,dallas,tx,75235,16228
university of texasdallas,2601 n floyd rd,richardson,tx,75080,16218
white rock,9111 garland rd,dallas,tx,75218,16218
veterans memorial blvd,3870 veterans memorial blvd,metairie,la,70002,16214
southern university,133 smith brown,baton rouge,la,70813,16213
tyler junior college,s baxter st,tyler,tx,75798,16211
ambassador caffery parkway,3806 ambassador caffery pkwy,lafayette,la,70503,16211
highlands ranch town center,950 cpl max donahue ln,highlands ranch,co,80129,16210
sandy springs,5925 roswell rd ste c,atlanta,ga,30328,16210
galleria i,5015 westheimer rd ste 1330,houston,tx,77056,16208
brandywine,16003 crain hwy,brandywine,md,20613,16208
eisenhower parkway,5055 brookhaven rd,macon,ga,31206,16208
malabar road,1130 malabar rd se,palm bay,fl,32907,16199
regency square va,1404 n parham rd spc fc101,richmond,va,23229,16197
coit amp; spring creek,6240 coit rd,plano,tx,75023,16197
circle centre mall,49 w maryland st spc vc10,indianapolis,in,46204,16193
siegen lane,7055 siegen ln  17,baton rouge,la,70809,16191
west longview,1740 w loop 281,longview,tx,75604,16190
silver spring inline,825 ellsworth dr lot d1a,silver spring,md,20910,16187
wallingford,1098 n colony rd,wallingford,ct,06492,16187
thousand oaks boulevard drivethru only,3771 e thousand oaks blvd,westlake village,ca,91362,16185
perimeter mall,4400 ashford dunwoody rd ne,atlanta,ga,30346,16184
rivermont station,8475 holcomb bridge rd,alpharetta,ga,30022,16183
milford plaza,698 n dupont blvd  c,milford,de,19963,16182
ventura,1321 eastman ave,ventura,ca,93003,16181
houston center,1200 mckinney st ste 363,houston,tx,77010,16181
la palmera mall,5488 s padre island dr ste 1014,corpus christi,tx,78411,16180
shrewsbury,14665 mount airy rd,shrewsbury,pa,17361,16174
the market place,13490 jamboree rd,irvine,ca,92602,16171
st johns town center,4625 town center pkwy,jacksonville,fl,32246,16169
enfield,25 hazard ave,enfield,ct,06082,16168
lake highlands inline dt,6176 retail rd ste 100,dallas,tx,75231,16165
covington  highway 21,69280 highway 21,covington,la,70433,16165
wake forest,11730 retail dr,wake forest,nc,27587,16161
houston baptist university,7502 fondren rd,houston,tx,77074,16161
stone mountain,5075 stone mountain hwy,stone mountain,ga,30087,16158
southern hills drive,4110 southern hills dr sw,roanoke,va,24014,16155
long beach,7681 carson blvd,long beach,ca,90808,16153
grand junction,522 bogart ln,grand junction,co,81505,16148
mendocino avenue,1452 mendocino ave,santa rosa,ca,95401,16138
denver international airport,8500 pena blvd,denver,co,80249,16136
north olmsted,4779 great northern blvd,north olmsted,oh,44070,16135
kensington square,4481 fm 2181,corinth,tx,76210,16134
miami lakes,16100 nw 57th avenue,miami lakes,fl,33014,16130
greenwood park mall in,1251 us highway 31 n  c19,greenwood,in,46142,16130
tyrone boulevard,2471 tyrone blvd n,saint petersburg,fl,33710,16129
orange avenue,2885 s orange ave,orlando,fl,32806,16128
jacksonville university,2800 university blvd n,jacksonville,fl,32211,16124
western carolina university,1 university dr,cullowhee,nc,28723,16124
ucla inline,900 westwood blvd,los angeles,ca,90024,16115
university of texas  rio grande valley,1201 w university dr,edinburg,tx,78539,16110
university of louisiana lafayette,600 mckinley st,lafayette,la,70503,16109
garden of the gods,575 garden of the gods rd,colorado springs,co,80907,16108
sam nunn blvd,1363 sam nunn blvd,perry,ga,31069,16099
millerville road,1919 millerville rd,baton rouge,la,70816,16095
lenox square,3393 peachtree rd ne,atlanta,ga,30326,16094
state farm south campus,1 state farm plz,bloomington,il,61710,16093
northeast tower,4670 roosevelt blvd,philadelphia,pa,19124,16092
largo,10075 ulmerton rd,largo,fl,33771,16087
college mall,2856 e 3rd st spc c9,bloomington,in,47401,16083
brighton,2035 prairie center pkwy,brighton,co,80601,16081
zaragosa road,1840 n zaragoza rd,el paso,tx,79936,16079
dowlen road,4050 dowlen rd,beaumont,tx,77706,16074
merritt square mall,777 e merritt island cswy ste 164,merritt island,fl,32952,16073
canton crossing,3809 boston st,baltimore,md,21224,16072
camden town center,4044 s dupont hwy,camden,de,19934,16071
loyola water tower inline,30 e chicago ave,chicago,il,60611,16071
dayton mall,2700 miamisburgctrvil rd 212,dayton,oh,45459,16070
dobbin center,6375 dobbin rd,columbia,md,21045,16068
peachtree ind amp; pleasant hill,3555 peachtree industrial blvd,duluth,ga,30096,16068
nine mile road,1757 e nine mile rd,pensacola,fl,32514,16063
capital centre,1040 shoppers way,largo,md,20774,16061
georgia building authority,1 martin luther king jr dr sw,atlanta,ga,30334,16060
alexandria mall,3437 masonic dr,alexandria,la,71301,16059
quebec street,3601 quebec st,denver,co,80207,16056
kingsland,1369 ga highway 40 e,kingsland,ga,31548,16056
moline,3831 41st avenue dr,moline,il,61265,16054
marley station,7900 ritchie hwy spc e113,glen burnie,md,21061,16052
denham springs,2341 s range ave,denham springs,la,70726,16051
lake dow,860 highway 81 e,mcdonough,ga,30252,16051
sprayberry,2530 sandy plains rd,marietta,ga,30066,16050
south bend,4555 s michigan st,south bend,in,46614,16045
golden isles plaza,70 golden isles plz,brunswick,ga,31520,16044
bangor,605 stillwater ave,bangor,me,04401,16043
chapel hills mall,1710 briargate blvd ste 456,colorado springs,co,80920,16037
gloucester,6780 waltons ln,gloucester,va,23061,16034
corridor market place,3366 corridor market place,laurel,md,20724,16033
chambers and parker road,5600 s parker rd,aurora,co,80015,16031
niceville,1348 john sims pkwy e,niceville,fl,32578,16030
aberdeen,1001 beards hill rd,aberdeen,md,21001,16025
the parks at arlington,3811 s cooper st,arlington,tx,76015,16024
macon road,2421 wynnton rd,columbus,ga,31906,16022
houston george bush inter39;l airport  terminal a,2800 n terminal rd,houston,tx,77032,16016
lee vista,6350 s semoran blvd,orlando,fl,32822,16009
north dale mabry,15801 n dale mabry hwy,carrollwood,fl,33618,16008
fairmont parkway,5104 fairmont pkwy,pasadena,tx,77505,16007
western boulevard,1405 western blvd,jacksonville,nc,28546,16003
west monroe drivethru only,911 glenwood dr,west monroe,la,71291,16000
state farm  corporate south h,3 state farm plz,bloomington,il,61791,15998
southside blvd at the avenues,9980 southside blvd,jacksonville,fl,32256,15998
university of floridabroward complex,60 inner rd,gainesville,fl,32611,15997
lufkin mall,4600 s medford dr ste 1262,lufkin,tx,75901,15996
ingram park,6565 ingram rd,san antonio,tx,78238,15994
north dover,1440 n dupont hwy,dover,de,19901,15993
loveland,1545 rocky mountain ave,loveland,co,80538,15992
martin plaza,1202 martin blvd,middle river,md,21220,15987
pooler,180 pooler pkwy,pooler,ga,31322,15985
winston salem state university,601 s martin luther king jr dr,winston salem,nc,27110,15981
north point parkway,6085 n point pkwy,alpharetta,ga,30022,15979
southeastern university,1000 longfellow blvd,lakeland,fl,33801,15975
lombard,717 e butterfield rd,lombard,il,60148,15973
hampden and i25,7785 e hampden ave,denver,co,80231,15970
humble,19707 highway 59 n,humble,tx,77338,15968
robson crossing,3405 atlanta hwy,flowery branch,ga,30542,15967
louisiana technical university,wisteria student center rm 208,ruston,la,71272,15962
exeter,4675 perkiomen ave,reading,pa,19606,15961
townmall of westminster,400 n center st ste 243,westminster,md,21157,15958
johns hopkins road,10975 johns hopkins rd,laurel,md,20723,15958
st matthews,5001 shelbyville rd,louisville,ky,40207,15953
acadiana mall,5725 johnston st  a266,lafayette,la,70503,15951
regency park,9398 atlantic blvd,jacksonville,fl,32225,15951
lindle road,4655 lindle rd,harrisburg,pa,17111,15949
spring hill,13143 cortez blvd,brooksville,fl,34613,15947
flatiron,2580 coalton rd,superior,co,80027,15945
perimeter at hammond drive,4350 ashford dunwoody rd ne,atlanta,ga,30346,15945
towson university,8000 york rd,towson,md,21252,15938
california university of pennsylvania,250 university ave,california,pa,15419,15928
mercury boulevard,110 market place dr,hampton,va,23666,15927
salem,1353 w main st,salem,va,24153,15917
miracle mile,4040 william penn hwy,monroeville,pa,15146,15915
panama city beach,11428 panama city beach pkwy,panama city,fl,32407,15915
texas woman39;s university,420 administration dr,denton,tx,76201,15915
university of south florida,4202 e fowler ave,tampa,fl,33620,15911
wells road,1925 wells rd,orange park,fl,32073,15911
university of marylandcollege park,1150 s campus dining hall,college park,md,20742,15905
montgomeryville,794 bethlehem pike,montgomeryville,pa,18936,15904
north valdosta,3147 inner perimeter rd,valdosta,ga,31602,15903
lake ridge,4101 old bridge road,woodbridge,va,22192,15902
laurel,13600 baltimore ave ste 600,laurel,md,20707,15902
weatherford,2525 s main st,weatherford,tx,76087,15900
queen city centre,221 williams st,cumberland,md,21502,15892
parkway plaza,877 lynnhaven pkwy,virginia beach,va,23452,15890
city base landing,3214 se military dr,san antonio,tx,78223,15888
usc inline,3758 s figueroa st,los angeles,ca,90007,15887
alico road,9980 interstate commerce dr,fort myers,fl,33913,15887
university of marylandeastern shore,30617 backbone road,princess anne,md,21853,15883
mall of georgia on buford drive,3235 buford dr,buford,ga,30519,15882
pantops,1626 richmond rd,charlottesville,va,22911,15881
seven corners inline,6108c arlington blvd,falls church,va,22044,15881
chambersburg,970 norland ave,chambersburg,pa,17201,15880
